BSSA14,Magnitude Scaling,,,,,,,,Distance Scaling,,,,,,Anelastic attenuation,,,Linear site term,,,Nonlinear site term,,,,Basin depth,,Aleatory Uncertainty,,,,,,,,,
period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref (km),h (km),Dc3 (globalCATWNZ),Dc3 (ChinaTurkey),Dc3 (ItalyJapan),c,vc,vref,f1,f3,f4,f5,f6,f7,R1 (km),R2 (km),DfR,DfV,V1 (m/s),V2 (m/s),f1,f2,t1,t2
-1,5.037,5.078,4.849,5.033,1.073,-0.1536,0.2252,6.2,-1.243,0.1489,-0.00344,4.5,1,5.3,0,0.004345,-0.00033,-0.84,1300,760,0,0.1,-0.1,-0.00844,-9.9,-9.9,105,272,0.082,0.08,225,300,0.644,0.552,0.401,0.346
0,0.4473,0.4856,0.2459,0.4539,1.431,0.05053,-0.1662,5.5,-1.134,0.1917,-0.008088,4.5,1,4.5,0,0.0028576,-0.00255,-0.6,1500,760,0,0.1,-0.15,-0.00701,-9.9,-9.9,110,270,0.1,0.07,225,300,0.695,0.495,0.398,0.348
0.01,0.4534,0.4916,0.2519,0.4599,1.421,0.04932,-0.1659,5.5,-1.134,0.1916,-0.008088,4.5,1,4.5,0,0.0028159,-0.0024367,-0.60372,1500.2,760,0,0.1,-0.14833,-0.00701,-9.9,-9.9,111.67,270,0.096,0.07,225,300,0.698,0.499,0.402,0.345
0.02,0.48598,0.52359,0.29707,0.48875,1.4331,0.053388,-0.16561,5.5,-1.1394,0.18962,-0.008074,4.5,1,4.5,0,0.0027795,-0.00234,-0.57388,1500.36,760,0,0.1,-0.1471,-0.00728,-9.9,-9.9,113.1,270,0.092,0.03,225,300,0.702,0.502,0.409,0.346
0.022,0.49866,0.53647,0.31347,0.49973,1.4336,0.054888,-0.1652,5.5,-1.1405,0.18924,-0.008095,4.5,1,4.5,0,0.0027597,-0.0022886,-0.56675,1500.68,760,0,0.1,-0.14801,-0.00732,-9.9,-9.9,113.37,270,0.088,0.027,225,300,0.707,0.505,0.418,0.349
0.025,0.52283,0.5613,0.34426,0.51999,1.4328,0.057529,-0.16499,5.5,-1.1419,0.18875,-0.008153,4.5,1,4.5,0,0.0027542,-0.00225,-0.5552,1501.04,760,0,0.1,-0.15015,-0.00736,-9.9,-9.9,113.07,270,0.086,0.026,225,300,0.711,0.508,0.427,0.354
0.029,0.55949,0.59923,0.39146,0.54995,1.4279,0.060732,-0.16632,5.5,-1.1423,0.18844,-0.00829,4.5,1,4.5,0,0.0027616,-0.0022145,-0.5385,1501.26,760,0,0.1,-0.15387,-0.00737,-9.9,-9.9,112.36,270,0.084,0.028,225,300,0.716,0.51,0.436,0.359
0.03,0.56916,0.6092,0.40391,0.55783,1.4261,0.061444,-0.1669,5.5,-1.1421,0.18842,-0.008336,4.5,1,4.49,0,0.0027646,-0.0021676,-0.53414,1502.95,760,0,0.1,-0.15485,-0.00735,-9.9,-9.9,112.13,270,0.081,0.029,225,300,0.721,0.514,0.445,0.364
0.032,0.58802,0.62875,0.42788,0.5733,1.4227,0.062806,-0.16813,5.5,-1.1412,0.1884,-0.008445,4.5,1,4.45,0,0.0027691,-0.0021167,-0.52529,1503.12,760,0,0.1,-0.15685,-0.00731,-9.9,-9.9,111.65,270,0.078,0.03,225,300,0.726,0.516,0.454,0.369
0.035,0.61636,0.65818,0.46252,0.59704,1.4174,0.064559,-0.17015,5.5,-1.1388,0.18839,-0.008642,4.5,1,4.4,0,0.0027837,-0.0020957,-0.51192,1503.24,760,0,0.1,-0.16016,-0.00721,-9.9,-9.9,110.64,270,0.077,0.031,225,300,0.73,0.518,0.462,0.374
0.036,0.62554,0.66772,0.47338,0.60496,1.4158,0.065028,-0.17083,5.5,-1.1378,0.18837,-0.008715,4.5,1,4.38,0,0.002801,-0.0020748,-0.50752,1503.32,760,0,0.1,-0.16142,-0.00717,-9.9,-9.9,109.53,270,0.075,0.031,225,300,0.734,0.52,0.47,0.379
0.04,0.66281,0.70604,0.51532,0.63828,1.409,0.066183,-0.17357,5.5,-1.1324,0.18816,-0.00903,4.5,1,4.32,0,0.0028219,-0.0020539,-0.49065,1503.35,760,0,0.1,-0.16777,-0.00698,-9.9,-9.9,108.28,270,0.073,0.032,225,300,0.738,0.521,0.478,0.384
0.042,0.68087,0.72443,0.53445,0.65505,1.4059,0.066438,-0.17485,5.5,-1.1292,0.18797,-0.009195,4.5,1,4.29,0,0.0028465,-0.0020348,-0.4829,1503.34,760,0,0.1,-0.17193,-0.00687,-9.9,-9.9,106.99,270,0.072,0.032,225,300,0.742,0.523,0.484,0.39
0.044,0.69882,0.74277,0.55282,0.67225,1.4033,0.066663,-0.17619,5.5,-1.1259,0.18775,-0.00936,4.5,1,4.27,0,0.0028738,-0.0020157,-0.47572,1503.13,760,0,0.1,-0.17664,-0.00677,-9.9,-9.9,105.41,270,0.07,0.031,225,300,0.745,0.525,0.49,0.397
0.045,0.70822,0.75232,0.56222,0.68139,1.4021,0.066774,-0.17693,5.5,-1.1242,0.18764,-0.009441,4.5,1,4.25,0,0.0029002,-0.0020011,-0.47236,1502.84,760,0,0.1,-0.17914,-0.00672,-9.9,-9.9,103.61,270,0.069,0.031,225,300,0.748,0.527,0.496,0.405
0.046,0.71779,0.76202,0.57166,0.69076,1.4009,0.066891,-0.17769,5.5,-1.1224,0.18752,-0.009521,4.5,1,4.24,0,0.0029229,-0.0019929,-0.46915,1502.47,760,0,0.1,-0.1817,-0.00667,-9.9,-9.9,101.7,270,0.067,0.031,225,300,0.75,0.529,0.499,0.412
0.048,0.73574,0.78015,0.58888,0.70854,1.3991,0.067127,-0.1792,5.5,-1.1192,0.1873,-0.009676,4.5,1,4.22,0,0.0029439,-0.0019884,-0.46321,1502.01,760,0,0.1,-0.18688,-0.00656,-9.9,-9.9,99.76,270,0.065,0.031,225,300,0.752,0.53,0.502,0.419
0.05,0.75436,0.79905,0.60652,0.72726,1.3974,0.067357,-0.18082,5.5,-1.1159,0.18709,-0.009819,4.5,1,4.2,0,0.0029566,-0.0019911,-0.45795,1501.42,760,0,0.1,-0.192,-0.00647,-9.9,-9.9,97.93,270,0.063,0.03,225,300,0.753,0.532,0.503,0.426
0.055,0.7996,0.8445,0.6477,0.7737,1.3947,0.067797,-0.1848,5.5,-1.1082,0.18655,-0.01012,4.5,1,4.15,0,0.0029639,-0.0020011,-0.44787,1500.71,760,0,0.1,-0.20369,-0.00625,-9.9,-9.9,96.03,270,0.062,0.029,225,300,0.753,0.534,0.502,0.434
0.06,0.84394,0.88884,0.68562,0.82067,1.3954,0.068591,-0.18858,5.5,-1.1009,0.18582,-0.01033,4.5,1,4.11,0,0.0029675,-0.0020193,-0.44186,1499.83,760,0,0.1,-0.21374,-0.00607,-9.9,-9.9,94.1,270.01,0.061,0.027,225,300,0.753,0.536,0.499,0.441
0.065,0.88655,0.93116,0.71941,0.86724,1.4004,0.070127,-0.19176,5.5,-1.0942,0.18485,-0.01048,4.5,1,4.08,0,0.0029684,-0.0020448,-0.43951,1498.74,760,0,0.1,-0.22225,-0.00593,-9.9,-9.9,92.08,270.02,0.061,0.025,225,300,0.752,0.538,0.495,0.448
0.067,0.9027,0.94711,0.73171,0.88526,1.4032,0.070895,-0.19291,5.5,-1.0918,0.18442,-0.01052,4.5,1,4.07,0,0.0029675,-0.0020766,-0.4395,1497.42,760,0,0.1,-0.22524,-0.00588,-9.9,-9.9,90.01,270.02,0.061,0.025,225,300,0.75,0.54,0.489,0.455
0.07,0.92652,0.97057,0.7494,0.91227,1.4082,0.072075,-0.19451,5.5,-1.0884,0.18369,-0.01056,4.5,1,4.06,0,0.0029639,-0.0021148,-0.4404,1495.85,760,0,0.1,-0.22931,-0.00582,-9.9,-9.9,87.97,270.03,0.062,0.024,225,300,0.748,0.541,0.483,0.461
0.075,0.96447,1.0077,0.77678,0.9563,1.4174,0.073549,-0.19665,5.5,-1.0831,0.18225,-0.01058,4.5,1,4.04,0,0.0029566,-0.0021594,-0.44411,1494,760,0,0.1,-0.235,-0.00573,-9.9,-9.9,85.99,270.04,0.064,0.022,225,300,0.745,0.542,0.474,0.466
0.08,1.0003,1.0426,0.80161,0.99818,1.4261,0.073735,-0.19816,5.5,-1.0785,0.18052,-0.01056,4.5,1,4.02,0,0.0029448,-0.0022122,-0.4502,1491.82,760,0,0.1,-0.23944,-0.00567,-9.9,-9.9,84.23,270.05,0.067,0.02,225,300,0.741,0.543,0.464,0.468
0.085,1.034,1.0755,0.82423,1.0379,1.4322,0.07194,-0.19902,5.51,-1.0745,0.17856,-0.01051,4.5,1,4.03,0,0.0029302,-0.0022695,-0.45813,1489.29,760,0,0.1,-0.24285,-0.00563,-9.9,-9.9,82.74,270.06,0.072,0.019,225,300,0.737,0.543,0.452,0.468
0.09,1.0666,1.1076,0.84591,1.0762,1.435,0.068097,-0.19929,5.52,-1.0709,0.17643,-0.01042,4.5,1,4.07,0,0.0029138,-0.0023269,-0.46732,1486.36,760,0,0.1,-0.24544,-0.00561,-9.9,-9.9,81.54,270.07,0.076,0.017,225,300,0.734,0.542,0.44,0.466
0.095,1.0981,1.1385,0.86703,1.1127,1.4339,0.062327,-0.199,5.53,-1.0678,0.1742,-0.01032,4.5,1,4.1,0,0.0028965,-0.0023833,-0.47721,1482.98,760,0,0.1,-0.24747,-0.0056,-9.9,-9.9,80.46,270.08,0.082,0.016,225,300,0.731,0.542,0.428,0.464
0.1,1.1268,1.1669,0.8871,1.1454,1.4293,0.055231,-0.19838,5.54,-1.0652,0.17203,-0.0102,4.5,1,4.13,0,0.0028792,-0.0024388,-0.48724,1479.12,760,0,0.1,-0.24916,-0.0056,-9.9,-9.9,79.59,270.09,0.087,0.014,225,300,0.728,0.541,0.415,0.458
0.11,1.1785,1.2179,0.92702,1.203,1.411,0.037389,-0.19601,5.57,-1.0607,0.1677,-0.009964,4.5,1,4.19,0,0.0028629,-0.0024916,-0.50632,1474.74,760,0,0.1,-0.25213,-0.00562,-9.9,-9.9,79.05,270.11,0.093,0.012,225,300,0.726,0.54,0.403,0.451
0.12,1.223,1.2621,0.96616,1.2502,1.3831,0.016373,-0.19265,5.62,-1.0572,0.16352,-0.009722,4.5,1,4.24,0,0.0028465,-0.0025398,-0.52438,1469.75,760,0,0.1,-0.25455,-0.00567,-9.9,-9.9,78.85,270.13,0.099,0.011,225,300,0.724,0.539,0.392,0.441
0.13,1.2596,1.2986,1.0031,1.2869,1.3497,-0.005158,-0.18898,5.66,-1.0549,0.15982,-0.009476,4.5,1,4.29,0,0.002831,-0.0025844,-0.54214,1464.09,760,0,0.1,-0.25628,-0.00572,-9.9,-9.9,78.99,270.15,0.104,0.011,225,300,0.723,0.538,0.381,0.43
0.133,1.2692,1.3082,1.0135,1.2961,1.3395,-0.011354,-0.18792,5.67,-1.0545,0.15882,-0.009402,4.5,1,4.3,0,0.0028165,-0.0026263,-0.54752,1457.76,760,0,0.1,-0.25665,-0.00574,-9.9,-9.9,79.47,270.15,0.11,0.011,225,300,0.722,0.538,0.371,0.417
0.14,1.2883,1.327,1.036,1.3137,1.3162,-0.024711,-0.18566,5.7,-1.0537,0.15672,-0.009228,4.5,1,4.34,0,0.0028019,-0.0026663,-0.56032,1450.71,760,0,0.1,-0.25719,-0.00578,-9.9,-9.9,80.26,270.16,0.115,0.012,225,300,0.721,0.537,0.362,0.403
0.15,1.3095,1.3481,1.0648,1.3324,1.2844,-0.042065,-0.18234,5.74,-1.0532,0.15401,-0.008977,4.5,1,4.39,0,0.0027864,-0.0027063,-0.57962,1442.85,760,0,0.1,-0.25713,-0.00585,-9.9,-9.9,81.33,270.16,0.12,0.015,225,300,0.72,0.537,0.354,0.388
0.16,1.3235,1.3615,1.0876,1.3437,1.2541,-0.057593,-0.17853,5.78,-1.0533,0.15158,-0.008725,4.5,1,4.44,0,0.0027646,-0.0027509,-0.60052,1434.22,760,0,0.1,-0.25604,-0.00591,-9.9,-9.9,82.86,270.16,0.125,0.02,225,300,0.72,0.536,0.349,0.372
0.17,1.3306,1.3679,1.104,1.3487,1.2244,-0.071861,-0.17421,5.82,-1.0541,0.14948,-0.008472,4.5,1,4.49,0,0.0027336,-0.0028019,-0.62252,1424.85,760,0,0.1,-0.25414,-0.00597,-9.9,-9.9,84.72,270.14,0.128,0.026,225,300,0.718,0.536,0.346,0.357
0.18,1.3327,1.3689,1.1149,1.3492,1.1941,-0.08564,-0.16939,5.85,-1.0556,0.14768,-0.008219,4.5,1,4.53,0,0.0026991,-0.0028547,-0.64486,1414.77,760,0,0.1,-0.25173,-0.00602,-9.9,-9.9,86.67,270.11,0.131,0.033,225,300,0.717,0.536,0.344,0.341
0.19,1.3307,1.3656,1.1208,1.3463,1.1635,-0.098884,-0.16404,5.89,-1.0579,0.14616,-0.007967,4.5,1,4.57,0,0.0026599,-0.0029111,-0.66681,1403.99,760,0,0.1,-0.24911,-0.00608,-9.9,-9.9,88.73,270.06,0.134,0.039,225,300,0.714,0.537,0.343,0.324
0.2,1.3255,1.359,1.122,1.3414,1.1349,-0.11096,-0.15852,5.92,-1.0607,0.14489,-0.007717,4.5,1,4.61,0,0.0026117,-0.0029702,-0.68762,1392.61,760,0,0.1,-0.24658,-0.00614,-9.9,-9.9,90.91,270,0.136,0.045,225,300,0.711,0.539,0.344,0.309
0.22,1.3091,1.3394,1.1133,1.3281,1.0823,-0.133,-0.14704,5.97,-1.067,0.14263,-0.007224,4.5,1,4.68,0,0.0025598,-0.0030285,-0.72431,1380.72,760,0,0.1,-0.24235,-0.00626,-9.9,-9.9,93.04,269.83,0.138,0.052,225,300,0.708,0.541,0.345,0.294
0.24,1.2881,1.315,1.0945,1.3132,1.0366,-0.15299,-0.13445,6.03,-1.0737,0.14035,-0.006747,4.5,1,4.75,0,0.0025052,-0.0030849,-0.75646,1368.51,760,0,0.1,-0.23823,-0.00638,-9.9,-9.9,95.08,269.59,0.14,0.055,225,300,0.703,0.544,0.347,0.28
0.25,1.2766,1.3017,1.0828,1.3052,1.0166,-0.16213,-0.12784,6.05,-1.0773,0.13925,-0.006517,4.5,1,4.78,0,0.0024443,-0.0031395,-0.77177,1356.21,760,0,0.1,-0.23574,-0.00644,-9.9,-9.9,97.04,269.45,0.141,0.055,225,300,0.698,0.547,0.35,0.266
0.26,1.2651,1.2886,1.071,1.2972,0.99932,-0.17041,-0.12115,6.07,-1.0808,0.13818,-0.006293,4.5,1,4.82,0,0.0023797,-0.0031896,-0.78697,1343.89,760,0,0.1,-0.2328,-0.0065,-9.9,-9.9,98.87,269.3,0.141,0.055,225,300,0.693,0.55,0.353,0.255
0.28,1.2429,1.2635,1.0476,1.2815,0.97282,-0.18463,-0.10714,6.11,-1.0879,0.13604,-0.005866,4.5,1,4.88,0,0.0023141,-0.0032351,-0.81613,1331.67,760,0,0.1,-0.22601,-0.0066,-9.9,-9.9,100.53,268.96,0.14,0.053,225,300,0.687,0.554,0.357,0.244
0.29,1.2324,1.2517,1.0363,1.2736,0.96348,-0.19057,-0.10011,6.12,-1.0913,0.13499,-0.005666,4.5,1,4.9,0,0.0022504,-0.0032742,-0.8295,1319.83,760,0,0.1,-0.2225,-0.00665,-9.9,-9.9,102.01,268.78,0.139,0.051,225,300,0.681,0.557,0.36,0.236
0.3,1.2217,1.2401,1.0246,1.2653,0.95676,-0.1959,-0.092855,6.14,-1.0948,0.13388,-0.005475,4.5,1,4.93,0,0.0021958,-0.0032969,-0.84165,1308.47,760,0,0.1,-0.21912,-0.0067,-9.9,-9.9,103.15,268.59,0.138,0.05,225,300,0.675,0.561,0.363,0.229
0.32,1.2007,1.2177,1.0011,1.2479,0.95004,-0.20454,-0.078923,6.16,-1.1013,0.13179,-0.005122,4.5,1,4.98,0,0.0021549,-0.0033033,-0.86175,1297.65,760,0,0.1,-0.21318,-0.0068,-9.9,-9.9,104,268.2,0.135,0.048,225,300,0.67,0.566,0.366,0.223
0.34,1.179,1.1955,0.97677,1.2286,0.94956,-0.21134,-0.065134,6.18,-1.1074,0.12984,-0.004808,4.5,1,5.03,0,0.0021239,-0.0032997,-0.87726,1287.5,760,0,0.1,-0.20816,-0.00689,-9.9,-9.9,104.7,267.79,0.133,0.047,225,300,0.664,0.57,0.369,0.218
0.35,1.1674,1.1836,0.9638,1.2177,0.95077,-0.21446,-0.057921,6.18,-1.1105,0.1289,-0.004663,4.5,1,5.06,0,0.0021039,-0.0032869,-0.88375,1278.06,760,0,0.1,-0.20592,-0.00693,-9.9,-9.9,105.26,267.58,0.13,0.047,225,300,0.658,0.573,0.372,0.215
0.36,1.1558,1.172,0.9512,1.2066,0.95278,-0.21716,-0.05104,6.19,-1.1133,0.12806,-0.004527,4.5,1,5.08,0,0.0020966,-0.0032669,-0.88965,1269.19,760,0,0.1,-0.20379,-0.00697,-9.9,-9.9,105.61,267.37,0.128,0.047,225,300,0.653,0.576,0.375,0.212
0.38,1.1305,1.1468,0.9244,1.1816,0.95899,-0.22214,-0.036755,6.19,-1.119,0.12647,-0.004276,4.5,1,5.12,0,0.0020976,-0.0032423,-0.90038,1260.74,760,0,0.1,-0.19978,-0.00705,-9.9,-9.9,105.87,266.95,0.125,0.048,225,300,0.648,0.578,0.378,0.21
0.4,1.1046,1.1214,0.89765,1.1552,0.96766,-0.22608,-0.023189,6.2,-1.1243,0.12512,-0.004053,4.5,1,5.16,0,0.0021067,-0.0032123,-0.91092,1252.66,760,0,0.1,-0.19582,-0.00713,-9.9,-9.9,106.02,266.54,0.122,0.049,225,300,0.643,0.58,0.381,0.21
