f (Hz),c0,c1,c2,c3,c4,c5,c6,c7,b1,b2,τ,φS2S,φss,σ
0.1,2.503,-3.02,-0.699,-0.753,4.696,-0.001,-0.447,0.023,-0.601,-0.617,0.588,0.434,0.619,0.958
0.11,2.493,-2.951,-0.698,-0.702,4.958,-0.001,-0.473,0.008,-0.558,-0.633,0.599,0.449,0.603,0.961
0.11,2.2,-2.752,-0.665,-0.539,5.484,0,-0.512,0.001,-0.556,-0.668,0.566,0.466,0.598,0.946
0.12,2.034,-2.516,-0.635,-0.399,5.849,0,-0.56,-0.005,-0.581,-0.72,0.59,0.481,0.599,0.969
0.13,1.141,-1.604,-0.533,-0.094,5.48,0.001,-0.602,-0.001,-0.599,-0.808,0.619,0.514,0.595,1.001
0.14,1.098,-1.443,-0.513,0.001,5.656,0,-0.649,-0.007,-0.621,-0.807,0.61,0.547,0.58,1.004
0.14,1.483,-1.566,-0.525,-0.04,6.278,0,-0.686,-0.015,-0.668,-0.771,0.578,0.572,0.574,0.995
0.15,1.722,-1.532,-0.53,-0.083,7.373,0,-0.729,-0.02,-0.687,-0.743,0.568,0.586,0.567,0.994
0.16,1.46,-1.046,-0.487,0.05,8.476,0,-0.757,-0.02,-0.722,-0.805,0.567,0.591,0.56,0.993
0.17,1.579,-0.976,-0.483,0.021,9.401,0,-0.788,-0.018,-0.735,-0.881,0.559,0.596,0.552,0.986
0.19,1.183,-0.586,-0.438,0.179,9.634,0,-0.812,-0.015,-0.732,-0.857,0.551,0.595,0.542,0.976
0.2,1.029,-0.402,-0.419,0.25,9.488,0,-0.831,-0.018,-0.723,-0.883,0.549,0.589,0.535,0.967
0.21,1.008,-0.282,-0.403,0.274,9.074,0,-0.857,-0.014,-0.749,-0.955,0.538,0.583,0.527,0.952
0.22,0.952,-0.101,-0.381,0.293,8.908,0,-0.879,-0.005,-0.779,-0.987,0.537,0.592,0.513,0.95
0.24,1.179,-0.16,-0.39,0.173,8.723,0,-0.904,0.002,-0.781,-0.961,0.514,0.603,0.508,0.941
0.25,0.709,0.249,-0.346,0.325,8.63,0,-0.913,0.001,-0.755,-0.922,0.494,0.613,0.503,0.934
0.27,1.005,0.122,-0.364,0.231,8.584,-0.001,-0.912,-0.006,-0.735,-0.892,0.482,0.621,0.497,0.93
0.29,1.261,0.032,-0.376,0.152,8.283,-0.001,-0.915,-0.005,-0.745,-0.887,0.467,0.632,0.487,0.924
0.3,1.297,0.092,-0.368,0.124,7.923,-0.001,-0.932,0.001,-0.759,-0.908,0.465,0.637,0.482,0.925
0.32,1.562,-0.06,-0.38,-0.017,7.195,0,-0.952,0.012,-0.782,-0.955,0.465,0.645,0.478,0.927
0.34,1.769,-0.211,-0.393,-0.168,6.413,-0.001,-0.976,0.021,-0.769,-0.936,0.476,0.65,0.472,0.934
0.37,1.891,-0.25,-0.397,-0.238,6.522,-0.001,-1,0.022,-0.759,-0.834,0.472,0.649,0.469,0.93
0.39,2.131,-0.129,-0.39,-0.134,8.919,-0.001,-1.02,-0.001,-0.828,-0.856,0.459,0.643,0.474,0.922
0.41,2.361,-0.266,-0.398,-0.235,8.864,-0.001,-1.029,0.005,-0.849,-0.893,0.444,0.641,0.466,0.909
0.44,2.526,-0.354,-0.401,-0.319,8.739,-0.001,-1.034,0.016,-0.865,-0.867,0.428,0.642,0.46,0.898
0.47,2.712,-0.425,-0.406,-0.392,9.011,-0.002,-1.045,0.02,-0.868,-0.822,0.408,0.645,0.45,0.886
0.5,2.613,-0.301,-0.389,-0.356,9.331,-0.002,-1.06,0.02,-0.867,-0.804,0.399,0.647,0.444,0.88
0.53,2.32,-0.115,-0.357,-0.283,8.836,-0.002,-1.08,0.029,-0.874,-0.777,0.41,0.647,0.443,0.885
0.56,2.335,-0.049,-0.346,-0.296,8.566,-0.003,-1.079,0.035,-0.883,-0.757,0.414,0.647,0.441,0.886
0.6,2.398,0.036,-0.337,-0.29,8.022,-0.003,-1.065,0.035,-0.897,-0.731,0.42,0.642,0.443,0.886
0.64,2.647,-0.115,-0.351,-0.353,7.624,-0.003,-1.075,0.033,-0.909,-0.702,0.419,0.638,0.441,0.881
0.68,2.848,-0.236,-0.361,-0.424,7.153,-0.004,-1.086,0.034,-0.918,-0.673,0.417,0.636,0.437,0.877
0.72,2.944,-0.324,-0.363,-0.492,6.597,-0.004,-1.073,0.042,-0.916,-0.636,0.409,0.633,0.435,0.871
0.77,2.913,-0.335,-0.356,-0.502,6.467,-0.005,-1.066,0.048,-0.913,-0.597,0.404,0.632,0.435,0.867
0.82,2.835,-0.262,-0.342,-0.48,6.2,-0.005,-1.067,0.05,-0.915,-0.539,0.4,0.632,0.433,0.865
0.87,2.653,-0.09,-0.315,-0.395,6.263,-0.006,-1.063,0.054,-0.934,-0.508,0.408,0.627,0.432,0.864
0.92,2.632,-0.021,-0.302,-0.367,6.867,-0.006,-1.059,0.057,-0.956,-0.501,0.403,0.621,0.431,0.857
0.98,2.616,-0.002,-0.294,-0.367,7.125,-0.006,-1.055,0.061,-0.963,-0.473,0.397,0.618,0.429,0.851
1.04,2.316,0.199,-0.263,-0.268,6.945,-0.007,-1.041,0.067,-0.966,-0.408,0.407,0.614,0.428,0.852
1.11,2.241,0.264,-0.251,-0.253,6.582,-0.008,-1.026,0.071,-0.964,-0.319,0.396,0.605,0.426,0.839
1.18,2.269,0.212,-0.251,-0.29,6.079,-0.008,-1.022,0.075,-0.957,-0.283,0.391,0.599,0.428,0.834
1.26,2.5,0.014,-0.266,-0.375,5.964,-0.008,-1.016,0.08,-0.972,-0.296,0.396,0.598,0.427,0.835
1.34,2.491,0.058,-0.255,-0.363,6.148,-0.008,-1.005,0.087,-0.999,-0.332,0.399,0.595,0.425,0.833
1.42,2.433,0.088,-0.245,-0.346,6.435,-0.009,-0.991,0.092,-1.006,-0.326,0.398,0.595,0.425,0.832
1.51,2.335,0.192,-0.231,-0.294,7.106,-0.009,-0.971,0.091,-1.004,-0.289,0.4,0.592,0.426,0.832
1.61,2.274,0.266,-0.22,-0.26,7.708,-0.009,-0.946,0.089,-1.003,-0.289,0.4,0.587,0.427,0.829
1.71,2.277,0.277,-0.216,-0.258,7.951,-0.01,-0.931,0.09,-1.003,-0.281,0.396,0.579,0.432,0.824
1.82,2.195,0.353,-0.206,-0.221,7.688,-0.01,-0.929,0.09,-1.007,-0.277,0.396,0.571,0.435,0.82
1.93,2.074,0.445,-0.193,-0.161,7.641,-0.01,-0.931,0.087,-1.01,-0.304,0.401,0.562,0.435,0.816
2.06,1.951,0.511,-0.179,-0.116,7.761,-0.01,-0.921,0.088,-1.014,-0.316,0.398,0.557,0.436,0.811
2.19,1.914,0.506,-0.173,-0.118,7.759,-0.01,-0.904,0.094,-1.023,-0.339,0.399,0.557,0.436,0.812
2.33,1.796,0.596,-0.159,-0.081,7.731,-0.01,-0.878,0.097,-1.027,-0.338,0.394,0.557,0.435,0.809
2.48,1.62,0.764,-0.138,0.021,8.044,-0.011,-0.853,0.093,-1.03,-0.339,0.393,0.557,0.438,0.81
2.63,1.627,0.754,-0.137,0.053,8.596,-0.011,-0.844,0.088,-1.032,-0.369,0.396,0.555,0.443,0.813
2.8,1.668,0.681,-0.141,0.02,8.649,-0.011,-0.839,0.091,-1.031,-0.379,0.399,0.553,0.448,0.816
2.98,1.714,0.588,-0.145,-0.044,8.305,-0.011,-0.829,0.098,-1.028,-0.362,0.4,0.554,0.452,0.819
3.17,1.888,0.371,-0.161,-0.156,7.956,-0.012,-0.815,0.107,-1.029,-0.348,0.394,0.553,0.454,0.817
3.37,1.841,0.33,-0.158,-0.159,7.829,-0.012,-0.798,0.111,-1.031,-0.336,0.39,0.555,0.454,0.816
3.58,1.452,0.578,-0.126,-0.015,8.106,-0.013,-0.773,0.111,-1.024,-0.314,0.392,0.562,0.454,0.822
3.81,1.002,0.941,-0.085,0.165,8.442,-0.013,-0.734,0.112,-1.022,-0.286,0.401,0.57,0.454,0.832
4.06,0.934,0.998,-0.077,0.181,8.458,-0.014,-0.694,0.114,-1.025,-0.299,0.405,0.574,0.453,0.836
4.31,0.979,0.944,-0.08,0.158,8.584,-0.014,-0.674,0.112,-1.028,-0.327,0.409,0.58,0.456,0.843
4.59,0.896,1.012,-0.072,0.197,9.058,-0.014,-0.659,0.11,-1.034,-0.355,0.417,0.591,0.457,0.855
4.88,0.739,1.128,-0.057,0.248,9.437,-0.014,-0.634,0.112,-1.039,-0.399,0.425,0.601,0.456,0.866
5.19,0.843,1.001,-0.068,0.166,9.286,-0.014,-0.601,0.119,-1.042,-0.426,0.432,0.611,0.454,0.876
5.52,0.954,0.85,-0.079,0.081,8.92,-0.014,-0.555,0.125,-1.042,-0.446,0.442,0.624,0.453,0.888
5.87,0.847,0.866,-0.072,0.105,9.017,-0.014,-0.51,0.128,-1.045,-0.48,0.45,0.636,0.452,0.901
6.25,0.65,0.943,-0.059,0.161,9.065,-0.015,-0.468,0.129,-1.042,-0.513,0.455,0.642,0.452,0.908
6.64,0.396,1.085,-0.04,0.248,8.99,-0.015,-0.428,0.126,-1.04,-0.524,0.459,0.65,0.453,0.916
7.07,0.258,1.154,-0.031,0.298,9.245,-0.015,-0.402,0.124,-1.047,-0.542,0.461,0.661,0.454,0.925
7.52,0.237,1.109,-0.032,0.283,9.163,-0.015,-0.375,0.127,-1.055,-0.556,0.47,0.672,0.457,0.939
7.99,0.201,1.043,-0.035,0.262,8.83,-0.015,-0.34,0.13,-1.055,-0.572,0.487,0.682,0.46,0.956
8.5,0.208,0.938,-0.043,0.219,8.527,-0.016,-0.301,0.132,-1.053,-0.577,0.495,0.695,0.463,0.971
9.05,0.21,0.859,-0.048,0.193,8.401,-0.016,-0.265,0.133,-1.058,-0.583,0.504,0.711,0.47,0.99
9.62,0.1,0.875,-0.043,0.207,8.493,-0.016,-0.241,0.133,-1.068,-0.611,0.518,0.729,0.476,1.013
10.23,-0.21,1.072,-0.021,0.306,8.616,-0.016,-0.22,0.131,-1.075,-0.632,0.53,0.746,0.484,1.035
10.88,-0.591,1.328,0.006,0.434,8.345,-0.016,-0.191,0.127,-1.078,-0.632,0.54,0.759,0.493,1.054
11.58,-0.794,1.412,0.017,0.498,8.048,-0.017,-0.156,0.124,-1.084,-0.641,0.548,0.775,0.501,1.074
12.31,-0.875,1.42,0.019,0.533,8.064,-0.017,-0.12,0.119,-1.099,-0.678,0.557,0.794,0.51,1.096
13.1,-1.088,1.533,0.031,0.611,7.97,-0.016,-0.088,0.112,-1.109,-0.723,0.566,0.812,0.52,1.118
13.93,-1.329,1.679,0.043,0.689,7.8,-0.016,-0.074,0.105,-1.113,-0.752,0.576,0.826,0.532,1.139
14.82,-1.498,1.763,0.047,0.75,7.731,-0.016,-0.064,0.093,-1.115,-0.804,0.586,0.838,0.548,1.16
15.76,-1.595,1.805,0.045,0.793,7.799,-0.016,-0.048,0.079,-1.119,-0.881,0.595,0.85,0.567,1.182
16.77,-1.687,1.842,0.043,0.831,7.664,-0.015,-0.037,0.065,-1.128,-0.951,0.6,0.859,0.587,1.201
17.83,-1.733,1.821,0.036,0.865,7.773,-0.015,-0.043,0.05,-1.139,-0.994,0.606,0.869,0.606,1.22
18.97,-1.767,1.828,0.033,0.904,8.26,-0.015,-0.048,0.038,-1.165,-1.028,0.616,0.88,0.625,1.243
20.17,-1.781,1.859,0.032,0.937,8.712,-0.014,-0.041,0.028,-1.201,-1.086,0.629,0.891,0.644,1.267
21.46,-1.894,1.903,0.034,0.984,8.894,-0.014,-0.043,0.016,-1.22,-1.152,0.638,0.904,0.664,1.29
22.83,-2.165,1.999,0.043,1.067,9.025,-0.013,-0.06,0.004,-1.229,-1.214,0.645,0.916,0.686,1.314
24.28,-2.569,2.144,0.058,1.191,8.974,-0.013,-0.079,-0.01,-1.229,-1.259,0.656,0.93,0.712,1.343
25.82,-2.858,2.272,0.067,1.315,8.436,-0.012,-0.041,-0.031,-1.225,-1.34,0.68,0.938,0.74,1.375
27.47,-2.91,2.159,0.053,1.284,8.269,-0.012,-0.033,-0.046,-1.213,-1.364,0.697,0.95,0.767,1.406
29.22,-2.921,1.994,0.034,1.196,8.145,-0.011,-0.039,-0.057,-1.205,-1.379,0.723,0.967,0.797,1.446
31.08,-2.894,1.829,0.014,1.114,8.091,-0.011,-0.042,-0.065,-1.219,-1.432,0.742,0.983,0.826,1.483
33.05,-3.069,1.796,0.012,1.138,8.078,-0.01,-0.052,-0.073,-1.233,-1.482,0.745,1,0.855,1.512
35.16,-3.218,1.75,0.007,1.145,8.321,-0.01,-0.071,-0.082,-1.244,-1.526,0.756,1.021,0.883,1.548
37.39,-3.396,1.767,0.006,1.176,8.778,-0.009,-0.084,-0.095,-1.257,-1.592,0.774,1.05,0.91,1.59
39.78,-3.807,1.96,0.023,1.3,9.213,-0.008,-0.09,-0.109,-1.265,-1.641,0.792,1.081,0.938,1.636
42.31,-4.201,2.174,0.047,1.434,9.9,-0.007,-0.039,-0.118,-1.296,-1.705,0.826,1.075,0.921,1.639
45,-4.2,1.864,0.013,1.186,9.847,-0.006,-0.121,-0.088,-1.332,-1.723,0.864,1.124,0.963,1.714
